poverty_perc,median_household_income,education_less_than_high_school_percent,percent_high_blood_pressure,percent_coronary_heart_disease,percent_stroke,percent_high_cholesterol,percent_inactive,percent_smoking,number_of_hospitals,number_of_primary_care_physicians,percent_no_heath_insurance,urban_rural_status
15.3,0.29375441403491226,13.6,37.5,10.7,4.8,38.4,28.3,18.7,0.05194805194805195,0.09897610921501707,13.6,
23.3,0.29375441403491226,16.2,36.4,9.6,5.2,34.8,23.4,22.2,0.05194805194805195,0.09215017064846417,17.4,0.0
14.9,0.3562540234123537,11.0,29.9,7.0,3.3,32.5,18.3,14.6,0.12987012987012989,0.07167235494880547,13.3,
11.1,0.41875363278979505,12.9,31.0,7.7,3.6,33.6,28.1,17.9,0.03896103896103896,0.2491467576791809,12.8,
16.8,0.27500453122167984,22.1,34.3,7.9,3.8,34.3,20.9,14.2,0.012987012987012988,0.11262798634812288,16.9,0.0
10.8,0.36875394528784194,8.2,37.8,9.0,4.2,37.2,20.6,15.3,0.025974025974025976,0.09215017064846417,14.8,
15.2,0.33750414059912126,25.4,32.9,8.0,3.9,34.2,21.8,15.1,0.012987012987012988,0.10580204778156999,17.7,
14.3,0.4062537109143068,4.7,35.7,8.2,3.6,35.4,21.2,12.3,0.0,0.0,8.7,0.0
17.1,0.3812538671633302,22.7,28.5,6.4,3.2,29.0,23.2,14.0,0.07792207792207792,0.08191126279863481,9.7,
18.1,0.3000043749726564,29.8,30.0,6.9,3.4,31.2,26.2,13.6,0.025974025974025976,0.17064846416382254,9.6,
10.9,0.3500040624746095,9.5,32.2,8.1,3.6,33.7,19.1,12.9,0.025974025974025976,0.07167235494880547,9.1,0.0
18.3,0.36875394528784194,24.7,27.0,6.4,3.3,29.6,28.6,15.0,0.12987012987012989,0.10238907849829351,9.3,
13.2,0.4750032812294923,20.2,26.2,5.6,2.9,28.6,19.0,10.4,1.0,0.08191126279863481,11.1,1.0
14.1,0.4312535546652833,28.0,28.4,7.2,3.6,30.0,27.1,15.2,0.012987012987012988,0.11262798634812288,11.0,
9.0,0.4562533984162599,11.8,27.7,6.4,2.9,30.5,19.3,12.5,0.012987012987012988,0.07849829351535836,10.6,0.0
9.0,0.6187523827976076,14.0,26.0,5.4,2.6,32.0,17.1,10.3,0.25974025974025977,0.06825938566552901,8.8,1.0
11.2,0.4750032812294923,17.2,29.0,6.1,3.0,30.8,20.6,12.7,0.2077922077922078,0.11262798634812288,9.8,1.0
14.3,0.4125036718520509,19.3,28.0,5.8,2.9,29.9,23.6,13.5,0.25974025974025977,0.09215017064846417,9.9,
9.5,0.5437528515446779,12.0,26.8,5.3,2.6,28.6,17.6,10.7,0.24675324675324678,0.07508532423208192,8.9,1.0
17.1,0.38750382810107437,28.1,28.6,6.7,3.4,29.6,24.7,15.4,0.025974025974025976,0.11262798634812288,9.5,
9.1,0.5687526952956544,14.4,28.0,6.1,2.8,31.9,18.7,10.8,0.09090909090909091,0.07849829351535836,10.4,
9.4,0.40000374997656263,5.9,31.7,7.6,3.4,34.9,17.3,13.2,0.012987012987012988,0.07849829351535836,13.8,0.0
12.1,0.33750414059912126,10.2,35.3,9.3,4.4,34.9,17.4,17.9,0.012987012987012988,0.08191126279863481,11.5,0.0
12.5,0.31875425778588884,4.5,34.8,7.8,3.4,35.1,17.2,14.1,0.0,0.10580204778156999,10.5,0.0
6.7,0.5000031249804688,11.0,24.5,5.6,2.6,28.5,16.3,15.2,0.025974025974025976,0.07849829351535836,15.7,0.0
9.6,0.4250035937275392,2.4,22.5,4.7,2.2,25.9,16.4,12.0,0.012987012987012988,0.07167235494880547,9.9,0.0
7.2,0.3937537890388185,4.1,33.0,8.0,3.5,35.8,19.8,12.2,0.0,0.061433447098976114,12.2,0.0
10.0,0.4125036718520509,4.0,27.2,6.1,2.8,28.5,14.4,13.5,0.012987012987012988,0.061433447098976114,11.3,0.0
11.1,0.40000374997656263,9.5,28.1,6.9,3.3,30.5,17.3,15.6,0.05194805194805195,0.06484641638225257,10.9,
8.7,0.3625039843500978,2.0,33.4,7.5,3.2,35.7,18.8,11.0,0.0,0.061433447098976114,11.0,0.0
9.9,0.3937537890388185,10.1,29.4,7.1,3.4,31.1,20.9,18.2,0.012987012987012988,0.2593856655290102,10.0,0.0
12.9,0.33750414059912126,9.5,32.8,8.1,3.8,33.4,17.1,17.2,0.012987012987012988,0.06825938566552901,13.9,0.0
10.4,0.3750039062255861,11.1,32.0,8.1,3.7,32.8,19.7,15.5,0.012987012987012988,0.07849829351535836,12.9,0.0
6.7,0.46250335935400405,1.5,31.2,7.3,3.1,35.1,18.0,11.0,0.0,0.061433447098976114,8.6,0.0
6.4,0.5875025781088868,3.6,25.2,5.4,2.3,30.5,14.8,10.3,0.012987012987012988,0.07508532423208192,10.6,0.0
9.8,0.40000374997656263,8.1,28.1,6.8,3.2,30.5,18.1,16.7,0.025974025974025976,0.05460750853242321,9.5,0.0
6.3,0.5125030468559572,4.6,26.0,5.5,2.5,29.9,16.8,12.6,0.012987012987012988,0.061433447098976114,9.6,0.0
11.3,0.33750414059912126,4.2,32.0,8.2,3.7,34.7,18.6,15.7,0.0,0.05802047781569966,12.2,0.0
7.6,0.4812532421672365,3.1,25.5,5.4,2.4,29.7,17.7,12.4,0.0,0.07508532423208192,12.3,0.0
7.7,0.4562533984162599,4.7,28.5,5.6,2.5,30.0,17.1,13.1,0.05194805194805195,0.06825938566552901,9.5,
12.2,0.34375410153686536,7.5,30.7,6.4,3.0,29.6,23.2,17.8,0.012987012987012988,0.08191126279863481,12.1,
9.5,0.3500040624746095,6.2,34.5,8.5,3.8,32.5,22.2,16.6,0.012987012987012988,0.08532423208191126,11.0,0.0
11.1,0.4125036718520509,10.6,31.5,7.0,3.3,30.9,20.3,17.0,0.012987012987012988,0.14675767918088736,14.6,0.0
6.9,0.4750032812294923,11.4,29.7,7.2,3.2,31.9,16.5,13.0,0.012987012987012988,0.06825938566552901,19.0,0.0
11.5,0.3500040624746095,6.0,36.8,9.1,3.9,36.7,16.9,15.1,0.0,0.3003412969283277,12.1,
9.7,0.41875363278979505,7.7,27.3,6.0,2.7,29.5,21.1,15.2,0.025974025974025976,0.12286689419795221,10.9,
14.2,0.32500421872363294,8.2,37.7,10.1,4.6,34.7,22.4,17.5,0.012987012987012988,0.12286689419795221,10.5,
8.3,0.36875394528784194,17.2,38.4,9.5,4.3,35.8,20.9,18.4,0.0,0.0,11.4,0.0
10.6,0.3625039843500978,13.7,31.5,6.5,3.1,32.0,24.5,16.7,0.03896103896103896,0.13993174061433447,15.3,
7.9,0.40000374997656263,9.4,32.8,7.3,3.3,32.8,20.1,16.6,0.012987012987012988,0.09556313993174062,10.5,0.0
10.1,0.4062537109143068,15.1,29.8,7.0,3.3,30.1,24.4,15.7,0.012987012987012988,0.07849829351535836,17.1,0.0
11.6,0.32500421872363294,35.8,32.6,8.5,3.9,31.7,18.4,17.9,0.0,0.0,29.7,0.0
12.7,0.3312541796613771,10.8,40.2,10.5,4.6,39.4,21.8,15.5,0.0,0.0,14.6,0.0
11.7,0.3062543359104006,9.4,29.5,6.7,3.2,29.6,20.5,17.6,0.012987012987012988,0.09215017064846417,15.0,0.0
7.7,0.4062537109143068,8.3,29.5,6.7,3.0,31.4,24.0,16.0,0.012987012987012988,0.11262798634812288,13.2,
12.6,0.36875394528784194,11.4,32.2,7.6,3.4,32.2,22.2,16.3,0.0,0.14675767918088736,17.0,0.0
11.0,0.3812538671633302,12.6,36.2,8.6,3.9,33.8,25.8,17.2,0.012987012987012988,0.08873720136518773,14.7,
11.2,0.3625039843500978,19.5,32.1,8.2,3.8,31.4,23.3,17.0,0.012987012987012988,0.16382252559726962,19.9,0.0
8.5,0.41875363278979505,8.8,27.8,5.9,2.7,28.2,19.3,14.9,0.0,0.18088737201365188,13.6,
12.3,0.3562540234123537,21.8,28.8,7.3,3.5,28.5,23.0,18.0,0.012987012987012988,0.1262798634812287,21.1,0.0
11.4,0.36875394528784194,20.9,30.8,7.6,3.6,30.1,22.2,18.3,0.0,0.21843003412969286,20.4,0.0
14.3,0.33750414059912126,4.6,19.9,4.2,2.1,20.6,17.7,13.3,0.012987012987012988,0.08532423208191126,9.4,0.0
14.0,0.3500040624746095,22.0,31.4,7.7,3.6,31.5,25.8,16.9,0.012987012987012988,0.17747440273037546,17.9,0.0
9.7,0.4312535546652833,9.2,35.2,8.2,3.6,35.6,27.4,15.2,0.012987012987012988,0.11262798634812288,13.1,0.0
13.6,0.33750414059912126,25.2,33.8,8.4,3.9,32.1,23.4,18.8,0.0,0.4368600682593857,23.1,
11.5,0.3750039062255861,13.4,34.3,7.9,3.7,32.1,24.6,16.8,0.0,0.11604095563139932,16.0,0.0
12.4,0.281254492159424,20.1,30.8,7.4,3.5,30.8,23.0,16.7,0.012987012987012988,0.16382252559726962,18.4,0.0
7.4,0.46875332029174815,6.9,26.7,5.5,2.4,28.3,14.8,13.6,0.012987012987012988,0.13651877133105803,15.8,0.0
11.1,0.34375410153686536,12.4,30.5,6.9,3.3,29.2,25.0,16.6,0.012987012987012988,0.08191126279863481,14.1,0.0
14.2,0.3062543359104006,12.6,38.6,10.2,4.7,35.4,24.3,16.7,0.012987012987012988,0.10238907849829351,17.1,0.0
10.3,0.38750382810107437,7.0,33.1,7.9,3.5,33.9,23.6,18.9,0.012987012987012988,0.11262798634812288,13.4,0.0
13.2,0.38750382810107437,13.7,30.2,6.8,3.2,31.8,23.8,16.7,0.24675324675324678,0.09556313993174062,13.7,1.0
8.0,0.5250029687314455,5.8,36.1,8.9,3.6,36.3,17.2,15.2,0.012987012987012988,0.09556313993174062,11.4,0.0
